Institución;URL;status_code
Instituto Universitario de Gendarmería Nacional;https://iugna.edu.ar;200.0
Instituto Universitario de la Policía Federal Argentina;https://www.iupfa.edu.ar;200.0
Instituto Universitario de Seguridad Marítima;https://iusm.edu.ar;200.0
Universidad Autónoma de Entre Ríos;https://www.uader.edu.ar/;200.0
Universidad de Buenos Aires;https://www.uba.ar/;200.0
Universidad de la Defensa Nacional;https://www.undef.edu.ar;200.0
Universidad del Chubut;https://www.udc.edu.ar/;200.0
Universidad Nacional Arturo Jauretche;https://www.unaj.edu.ar;200.0
Universidad Nacional de Avellaneda;https://www.undav.edu.ar;200.0
Universidad Nacional de Catamarca;https://www.unca.edu.ar/;200.0
Universidad Nacional de Chilecito;https://www.undec.edu.ar;200.0
Universidad Nacional de Córdoba;https://www.unc.edu.ar;200.0
Universidad Nacional de Cuyo;https://www.uncuyo.edu.ar;200.0
Universidad Nacional de Entre Ríos;https://www.uner.edu.ar;200.0
Universidad Nacional de Formosa;https://www.unf.edu.ar;200.0
Universidad Nacional de General Sarmiento;https://www.ungs.edu.ar;200.0
Universidad Nacional de Hurlingham;https://unahur.edu.ar;200.0
Universidad Nacional de Jujuy;https://www.unju.edu.ar;200.0
Universidad Nacional del Alto Uruguay;https://www.unau.edu.ar;200.0
Universidad Nacional de La Matanza;https://www.unlam.edu.ar;403.0
Universidad Nacional de Lanús;https://www.unla.edu.ar;200.0
Universidad Nacional de La Pampa;https://www.unlpam.edu.ar;200.0
Universidad Nacional de la Patagonia Austral;https://www.unpa.edu.ar/;200.0
Universidad Nacional de la Patagonia San Juan Bosco;https://www.unp.edu.ar;200.0
Universidad Nacional de La Plata;https://www.unlp.edu.ar/;200.0
Universidad Nacional de La Rioja;https://www.unlar.edu.ar;200.0
Universidad Nacional de las Artes;https://www.una.edu.ar/;403.0
Universidad Nacional del Centro de la Provincia de Buenos Aires;https://www.unicen.edu.ar;200.0
Universidad Nacional del Chaco Austral;https://www.uncaus.edu.ar/;200.0
Universidad Nacional del Comahue;https://www.uncoma.edu.ar;200.0
Universidad Nacional del Delta;https://undelta.edu.ar/;403.0
Universidad Nacional del Litoral;https://www.unl.edu.ar;200.0
Universidad Nacional del Nordeste;https://www.unne.edu.ar/;200.0
Universidad Nacional del Noroeste de la Provincia de Buenos Aires;https://www.unnoba.edu.ar;200.0
Universidad Nacional del Oeste;https://www.uno.edu.ar;200.0
Universidad Nacional de Lomas de Zamora;https://www.agrarias.unlz.edu.ar;200.0
Universidad Nacional de los Comechingones;https://www.unlc.edu.ar/;200.0
Universidad Nacional del Sur;https://www.uns.edu.ar;200.0
Universidad Nacional de Luján;https://www.unlu.edu.ar/;200.0
Universidad Nacional de Mar del Plata;https://www.mdp.edu.ar/;200.0
Universidad Nacional de Misiones;https://www.unam.edu.ar/;200.0
Universidad Nacional de Moreno;https://www.unm.edu.ar;200.0
Universidad Nacional de Pilar;https://unpilar.edu.ar/;200.0
Universidad Nacional de Quilmes;https://www.unq.edu.ar/;200.0
Universidad Nacional de Rafaela;https://www.unraf.edu.ar;200.0
Universidad Nacional de Río Cuarto;https://www.unrc.edu.ar;200.0
Universidad Nacional de Río Negro;https://www.unrn.edu.ar/home;418.0
Universidad Nacional de Río Tercero;https://unrt.edu.ar/;200.0
Universidad Nacional de Rosario;https://www.unr.edu.ar;200.0
Universidad Nacional de Salta;https://www.unsa.edu.ar/;200.0
Universidad Nacional de San Antonio de Areco;https://www.unsada.edu.ar;200.0
Universidad Nacional de San Juan;https://www.unsj.edu.ar/;200.0
Universidad Nacional de San Luis;https://www.unsl.edu.ar;200.0
Universidad Nacional de San Martín;https://www.unsam.edu.ar;200.0
Universidad Nacional de Santiago del Estero;https://www.unse.edu.ar;200.0
Universidad Nacional de Tierra del Fuego, Antártida e Islas del Atlántico Sur;https://www.untdf.edu.ar;200.0
Universidad Nacional de Tres de Febrero;https://www.untref.edu.ar/;200.0
Universidad Nacional de Tucumán;https://www.unt.edu.ar;200.0
Universidad Nacional de Villa María;https://www.unvm.edu.ar;200.0
Universidad Nacional de Villa Mercedes;https://www.unvime.edu.ar;200.0
Universidad Nacional Guillermo Brown;https://www.unab.edu.ar;200.0
Universidad Nacional José C. Paz;https://www.unpaz.edu.ar;200.0
Universidad Nacional Madres de Plaza de Mayo;https://unma.net.ar/;200.0
Universidad Nacional Raúl Scalabrini Ortiz;https://unso.edu.ar/;200.0
Universidad Pedagógica Nacional;https://unipe.edu.ar;200.0
Universidad Provincial de Córdoba;https://www.upc.edu.ar;200.0
Universidad Provincial de Ezeiza;https://www.upe.edu.ar;200.0
Universidad Provincial de Laguna Blanca;https://uplab.edu.ar/;200.0
Universidad Provincial del Sudoeste;https://www.upso.edu.ar;200.0
Universidad Tecnológica Nacional;https://www.utn.edu.ar;200.0
Escuela Universitaria de Teología;https://eut.edu.ar/;200.0
Instituto Tecnológico de Buenos Aires;https://www.itba.edu.ar;403.0
Instituto Universitario CEMIC;https://www.iuc.edu.ar;200.0
Instituto Universitario CIAS;https://cias.ar/;200.0
Instituto Universitario de Ciencias Biomédicas de Córdoba;https://www.iucbc.edu.ar;200.0
Instituto Universitario de Ciencias de la Salud de la Fundación Barceló;https://www.barcelo.edu.ar;200.0
Instituto Universitario de Ciencias Empresariales;https://i-uce.edu.ar/;200.0
Instituto Universitario del Agua y el Saneamiento;https://www.iuas.edu.ar/;200.0
Instituto Universitario de Salud Mental de la Asociación Psicoanalítica de Buenos Aires;https://www.iusam.edu.ar/;200.0
Instituto Universitario de Seguridad;https://iuse.edu.ar/;403.0
Instituto Universitario Escuela Argentina de Negocios;https://www.uean.edu.ar/;200.0
Instituto Universitario Escuela de Medicina del Hospital Italiano;https://www.hospitalitaliano.org.ar/educacion/index.php;200.0
Instituto Universitario Escuela Superior de Economía y Administración de Empresas;https://www.eseade.edu.ar;200.0
Instituto Universitario Italiano de Rosario;https://www.iunir.edu.ar;200.0
Instituto Universitario para el Desarrollo Productivo y Tecnológico Empresarial de la Argentina;https://www.iudpt.edu.ar;200.0
Instituto Universitario River Plate;https://iuriverplate.edu.ar/;200.0
Instituto Universitario YMCA;https://iuymca.edu.ar/;200.0
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires;https://www.uca.edu.ar;200.0
Universidad Abierta Interamericana;https://www.uai.edu.ar;200.0
Universidad Adventista del Plata;https://uap.edu.ar/;200.0
Universidad Argentina de la Empresa;https://www.uade.edu.ar;200.0
Universidad Argentina John F. Kennedy;https://www.kennedy.edu.ar/;200.0
Universidad Atlántida Argentina;https://www.atlantida.edu.ar/;403.0
Universidad Austral;https://www.austral.edu.ar;200.0
Universidad Blas Pascal;https://www.ubp.edu.ar/;200.0
Universidad CAECE;https://www.ucaece.edu.ar;200.0
Universidad Católica de Córdoba;https://www.ucc.edu.ar;200.0
Universidad Católica de Cuyo;https://www.uccuyo.edu.ar;200.0
Universidad Católica de La Plata;https://www.ucalp.edu.ar;200.0
Universidad Católica de las Misiones;https://www.ucami.edu.ar;200.0
Universidad Católica de Salta;https://www.ucasal.edu.ar/;200.0
Universidad Católica de Santa Fe;https://www.ucsf.edu.ar/;200.0
Universidad Católica de Santiago del Estero;https://www.ucse.edu.ar;200.0
Universidad Champagnat;https://www.uch.edu.ar;403.0
Universidad de Belgrano;https://www.ub.edu.ar/;200.0
Universidad de Ciencias Empresariales y Sociales;https://www.uces.edu.ar;200.0
Universidad de Concepción del Uruguay;https://www.ucu.edu.ar;403.0
Universidad de Congreso;https://www.ucongreso.edu.ar/;
Universidad de Flores;https://www.uflo.edu.ar;200.0
Universidad del Aconcagua;https://www.uda.edu.ar;200.0
Universidad de la Cuenca del Plata;https://www.ucp.edu.ar;200.0
Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino;https://www.ufasta.edu.ar/;200.0
Universidad de la Integración Sudamericana;https://unisud.edu.ar/;200.0
Universidad de la Marina Mercante;https://www.udemm.edu.ar;200.0
Universidad del CEMA;https://www.ucema.edu.ar/;200.0
Universidad del Centro Educativo Latinoamericano;https://www.ucel.edu.ar;200.0
Universidad del Cine;https://www.ucine.edu.ar;200.0
Universidad del Este;https://www.ude.edu.ar;200.0
Universidad del Museo Social Argentino;https://www.umsa.edu.ar;200.0
Universidad del Norte Santo Tomás de Aquino;https://www.unsta.edu.ar/;200.0
Universidad del Salvador;https://www.usal.edu.ar;200.0
Universidad del Sur de Buenos Aires;https://usba.edu.ar/;200.0
Universidad de Mendoza;https://www.um.edu.ar;200.0
Universidad de Morón;https://www.unimoron.edu.ar;200.0
Universidad de Palermo;https://www.palermo.edu;200.0
Universidad de San Andrés;https://www.udesa.edu.ar;200.0
Universidad de San Isidro Dr. Plácido Marín;https://usi.edu.ar/;200.0
Universidad de San Pablo - T;https://www.uspt.edu.ar;200.0
Universidad Empresarial Siglo 21;https://www.21.edu.ar/;200.0
Universidad Evangélica;https://uevangelica.edu.ar/;200.0
Universidad Favaloro;https://www.favaloro.edu.ar;200.0
Universidad Gastón Dachary;https://www.ugd.edu.ar/;200.0
Universidad ISALUD;https://www.isalud.edu.ar;200.0
Universidad Juan Agustín Maza;https://www.umaza.edu.ar;200.0
Universidad Maimónides;https://www.maimonides.edu;200.0
Universidad Metropolitana para la Educación y el Trabajo;https://www.umet.edu.ar;200.0
Universidad Notarial Argentina;https://www.universidadnotarial.edu.ar/una/;200.0
Universidad Patagonia Argentina;https://upatagonia.edu.ar;200.0
Universidad Salesiana Argentina;https://www.unisal.edu.ar;200.0
Universidad Torcuato Di Tella;https://www.utdt.edu;200.0
Facultad Latinoamericana de Ciencias Sociales;https://www.flacso.org.ar/;200.0