Institución;URL
Instituto Universitario de Gendarmería Nacional;https://iugna.edu.ar
Instituto Universitario de la Policía Federal Argentina;https://www.iupfa.edu.ar
Instituto Universitario de Seguridad Marítima;https://iusm.edu.ar
Instituto Universitario Patagónico de las Artes;https://iupa.edu.ar/sitio/
Universidad Autónoma de Entre Ríos;https://www.uader.edu.ar/
Universidad de Buenos Aires;https://www.uba.ar/
Universidad de la Defensa Nacional;https://www.undef.edu.ar
Universidad del Chubut;https://www.udc.edu.ar/
Universidad Nacional Arturo Jauretche;https://www.unaj.edu.ar
Universidad Nacional de Avellaneda;https://www.undav.edu.ar
Universidad Nacional de Catamarca;https://www.unca.edu.ar/
Universidad Nacional de Chilecito;https://www.undec.edu.ar
Universidad Nacional de Córdoba;https://www.unc.edu.ar
Universidad Nacional de Cuyo;https://www.uncuyo.edu.ar
Universidad Nacional de Entre Ríos;https://www.uner.edu.ar
Universidad Nacional de Formosa;https://www.unf.edu.ar
Universidad Nacional de General Sarmiento;https://www.ungs.edu.ar
Universidad Nacional de Hurlingham;https://unahur.edu.ar
Universidad Nacional de Jujuy;https://www.unju.edu.ar
Universidad Nacional del Alto Uruguay;https://www.unau.edu.ar
Universidad Nacional de La Matanza;https://www.unlam.edu.ar
Universidad Nacional de Lanús;https://www.unla.edu.ar
Universidad Nacional de La Pampa;https://www.unlpam.edu.ar
Universidad Nacional de la Patagonia Austral;https://www.unpa.edu.ar/
Universidad Nacional de la Patagonia San Juan Bosco;https://www.unp.edu.ar
Universidad Nacional de La Plata;https://www.unlp.edu.ar/
Universidad Nacional de La Rioja;https://www.unlar.edu.ar
Universidad Nacional de las Artes;https://www.una.edu.ar/
Universidad Nacional del Centro de la Provincia de Buenos Aires;https://www.unicen.edu.ar
Universidad Nacional del Chaco Austral;https://www.uncaus.edu.ar/
Universidad Nacional del Comahue;https://www.uncoma.edu.ar
Universidad Nacional del Delta;https://undelta.edu.ar/
Universidad Nacional del Litoral;https://www.unl.edu.ar
Universidad Nacional del Nordeste;https://www.unne.edu.ar/
Universidad Nacional del Noroeste de la Provincia de Buenos Aires;https://www.unnoba.edu.ar
Universidad Nacional del Oeste;https://www.uno.edu.ar
Universidad Nacional de Lomas de Zamora;https://www.agrarias.unlz.edu.ar
Universidad Nacional de los Comechingones;https://www.unlc.edu.ar/
Universidad Nacional del Sur;https://www.uns.edu.ar
Universidad Nacional de Luján;https://www.unlu.edu.ar/
Universidad Nacional de Mar del Plata;https://www.mdp.edu.ar/
Universidad Nacional de Misiones;https://www.unam.edu.ar/
Universidad Nacional de Moreno;https://www.unm.edu.ar
Universidad Nacional de Pilar;https://unpilar.edu.ar/
Universidad Nacional de Quilmes;https://www.unq.edu.ar/
Universidad Nacional de Rafaela;https://www.unraf.edu.ar
Universidad Nacional de Río Cuarto;https://www.unrc.edu.ar
Universidad Nacional de Río Negro;https://www.unrn.edu.ar/home
Universidad Nacional de Río Tercero;https://unrt.edu.ar/
Universidad Nacional de Rosario;https://www.unr.edu.ar
Universidad Nacional de Salta;https://www.unsa.edu.ar/
Universidad Nacional de San Antonio de Areco;https://www.unsada.edu.ar
Universidad Nacional de San Juan;https://www.unsj.edu.ar/
Universidad Nacional de San Luis;https://www.unsl.edu.ar
Universidad Nacional de San Martín;https://www.unsam.edu.ar
Universidad Nacional de Santiago del Estero;https://www.unse.edu.ar
Universidad Nacional de Tierra del Fuego, Antártida e Islas del Atlántico Sur;https://www.untdf.edu.ar
Universidad Nacional de Tres de Febrero;https://www.untref.edu.ar/
Universidad Nacional de Tucumán;https://www.unt.edu.ar
Universidad Nacional de Villa María;https://www.unvm.edu.ar
Universidad Nacional de Villa Mercedes;https://www.unvime.edu.ar
Universidad Nacional Guillermo Brown;https://www.unab.edu.ar
Universidad Nacional José C. Paz;https://www.unpaz.edu.ar
Universidad Nacional Madres de Plaza de Mayo;https://unma.net.ar/
Universidad Nacional Raúl Scalabrini Ortiz;https://unso.edu.ar/
Universidad Pedagógica Nacional;https://unipe.edu.ar
Universidad Provincial de Córdoba;https://www.upc.edu.ar
Universidad Provincial de Ezeiza;https://www.upe.edu.ar
Universidad Provincial de Laguna Blanca;https://uplab.edu.ar/
Universidad Provincial del Sudoeste;https://www.upso.edu.ar
Universidad Tecnológica Nacional;https://www.utn.edu.ar
Escuela Universitaria de Teología;https://eut.edu.ar/
Instituto Tecnológico de Buenos Aires;https://www.itba.edu.ar
Instituto Universitario CEMIC;https://www.iuc.edu.ar
Instituto Universitario CIAS;https://cias.ar/
Instituto Universitario de Ciencias Biomédicas de Córdoba;https://www.iucbc.edu.ar
Instituto Universitario de Ciencias de la Salud de la Fundación Barceló;https://www.barcelo.edu.ar
Instituto Universitario de Ciencias Empresariales;https://i-uce.edu.ar/
Instituto Universitario del Agua y el Saneamiento;https://www.iuas.edu.ar/
Instituto Universitario de Salud Mental de la Asociación Psicoanalítica de Buenos Aires;https://www.iusam.edu.ar/
Instituto Universitario de Seguridad;https://iuse.edu.ar/
Instituto Universitario Escuela Argentina de Negocios;https://www.uean.edu.ar/
Instituto Universitario Escuela de Medicina del Hospital Italiano;https://www.hospitalitaliano.org.ar/educacion/index.php
Instituto Universitario Escuela Superior de Economía y Administración de Empresas;https://www.eseade.edu.ar
Instituto Universitario Italiano de Rosario;https://www.iunir.edu.ar
Instituto Universitario para el Desarrollo Productivo y Tecnológico Empresarial de la Argentina;https://www.iudpt.edu.ar
Instituto Universitario River Plate;https://iuriverplate.edu.ar/
Instituto Universitario YMCA;https://iuymca.edu.ar/
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires;https://www.uca.edu.ar
Universidad Abierta Interamericana;https://www.uai.edu.ar
Universidad Adventista del Plata;https://uap.edu.ar/
Universidad Argentina de la Empresa;https://www.uade.edu.ar
Universidad Argentina John F. Kennedy;https://www.kennedy.edu.ar/
Universidad Atlántida Argentina;https://www.atlantida.edu.ar/
Universidad Austral;https://www.austral.edu.ar
Universidad Blas Pascal;https://www.ubp.edu.ar/
Universidad CAECE;https://www.ucaece.edu.ar
Universidad Católica de Córdoba;https://www.ucc.edu.ar
Universidad Católica de Cuyo;https://www.uccuyo.edu.ar
Universidad Católica de La Plata;https://www.ucalp.edu.ar
Universidad Católica de las Misiones;https://www.ucami.edu.ar
Universidad Católica de Salta;https://www.ucasal.edu.ar/
Universidad Católica de Santa Fe;https://www.ucsf.edu.ar/
Universidad Católica de Santiago del Estero;https://www.ucse.edu.ar
Universidad Champagnat;https://www.uch.edu.ar
Universidad de Belgrano;https://www.ub.edu.ar/
Universidad de Ciencias Empresariales y Sociales;https://www.uces.edu.ar
Universidad de Concepción del Uruguay;https://www.ucu.edu.ar
Universidad de Congreso;https://www.ucongreso.edu.ar/
Universidad de Flores;https://www.uflo.edu.ar
Universidad del Aconcagua;https://www.uda.edu.ar
Universidad de la Cuenca del Plata;https://www.ucp.edu.ar
Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino;https://www.ufasta.edu.ar/
Universidad de la Integración Sudamericana;https://unisud.edu.ar/
Universidad de la Marina Mercante;https://www.udemm.edu.ar
Universidad del CEMA;https://www.ucema.edu.ar/
Universidad del Centro Educativo Latinoamericano;https://www.ucel.edu.ar
Universidad del Cine;https://www.ucine.edu.ar
Universidad del Este;https://www.ude.edu.ar
Universidad del Museo Social Argentino;https://www.umsa.edu.ar
Universidad del Norte Santo Tomás de Aquino;https://www.unsta.edu.ar/
Universidad del Salvador;https://www.usal.edu.ar
Universidad del Sur de Buenos Aires;https://usba.edu.ar/
Universidad de Mendoza;https://www.um.edu.ar
Universidad de Morón;https://www.unimoron.edu.ar
Universidad de Palermo;https://www.palermo.edu
Universidad de San Andrés;https://www.udesa.edu.ar
Universidad de San Isidro Dr. Plácido Marín;https://usi.edu.ar/
Universidad de San Pablo - T;https://www.uspt.edu.ar
Universidad Empresarial Siglo 21;https://www.21.edu.ar/
Universidad Evangélica;https://uevangelica.edu.ar/
Universidad Favaloro;https://www.favaloro.edu.ar
Universidad Gastón Dachary;https://www.ugd.edu.ar/
Universidad ISALUD;https://www.isalud.edu.ar
Universidad Juan Agustín Maza;https://www.umaza.edu.ar
Universidad Maimónides;https://www.maimonides.edu
Universidad Metropolitana para la Educación y el Trabajo;https://www.umet.edu.ar
Universidad Notarial Argentina;https://www.universidadnotarial.edu.ar/una/
Universidad Patagonia Argentina;https://upatagonia.edu.ar
Universidad Salesiana Argentina;https://www.unisal.edu.ar
Universidad Torcuato Di Tella;https://www.utdt.edu
Facultad Latinoamericana de Ciencias Sociales;https://www.flacso.org.ar/